id,algorithm name,vertices,total cost,execution time,operation count
1,Prim,8,97,0.0715,196
1,Kruskal,8,97,7.8589,9
2,Prim,9,76,0.0338,288
2,Kruskal,9,76,0.0718,11
3,Prim,18,273,0.1008,612
3,Kruskal,18,273,0.0854,31
1,Prim,172,1411,15.5775,501372
1,Kruskal,172,1411,8.014,488
2,Prim,155,1333,11.302,363748
2,Kruskal,155,1333,2.7389,300
3,Prim,74,1166,0.8703,38179
3,Kruskal,74,1166,0.3884,245
1,Prim,535,3224,142.5019,15264390
1,Kruskal,535,3224,34.5991,1451
2,Prim,371,2771,63.9929,5147070
2,Kruskal,371,2771,7.1171,1326
3,Prim,745,3537,68.508,41381280
3,Kruskal,745,3537,18.2839,3042
